Gemeente,Nis-code,Centrumstad?,Indicator,Jaar,Externe inwijking van vreemdelingen,Aantal inwoners,Verhouding per 1000 inwoners
Kapellen,11023,Nee,Externe inwijking van vreemdelingen,2001,194,25642,7.56571
Kapellen,11023,Nee,Externe inwijking van vreemdelingen,2002,172,25612,6.7156
Kapellen,11023,Nee,Externe inwijking van vreemdelingen,2003,146,25881,5.6412
Kapellen,11023,Nee,Externe inwijking van vreemdelingen,2004,159,25974,6.12151
Kapellen,11023,Nee,Externe inwijking van vreemdelingen,2005,149,25975,5.73628
Kapellen,11023,Nee,Externe inwijking van vreemdelingen,2006,198,25948,7.63065
Kapellen,11023,Nee,Externe inwijking van vreemdelingen,2007,166,26104,6.35918
Kapellen,11023,Nee,Externe inwijking van vreemdelingen,2008,168,26222,6.40683
Kapellen,11023,Nee,Externe inwijking van vreemdelingen,2009,135,26297,5.13367
Kapellen,11023,Nee,Externe inwijking van vreemdelingen,2010,125,26427,4.73001
Kapellen,11023,Nee,Externe inwijking van vreemdelingen,2011,125,26437,4.72822
Kapellen,11023,Nee,Externe inwijking van vreemdelingen,2012,136,26546,5.12318
Kapellen,11023,Nee,Externe inwijking van vreemdelingen,2013,131,26506,4.94228
Kapellen,11023,Nee,Externe inwijking van vreemdelingen,2014,149,26540,5.61417
Kapellen,11023,Nee,Externe inwijking van vreemdelingen,2015,136,26702,5.09325
Kapellen,11023,Nee,Externe inwijking van vreemdelingen,2016,149,26745,5.57113
Kapellen,11023,Nee,Externe inwijking van vreemdelingen,2017,118,26750,4.41121
Kapellen,11023,Nee,Externe inwijking van vreemdelingen,2018,134,26771,5.00542
Kapellen,11023,Nee,Externe inwijking van vreemdelingen,2019,140,26850,5.21415
Kapellen,11023,Nee,Externe inwijking van vreemdelingen,2020,120,26981,4.44757
Kapellen,11023,Nee,Externe inwijking van vreemdelingen,2021,102,27157,3.75594
Kontich,11024,Nee,Externe inwijking van vreemdelingen,2000,39,19874,1.96236
Kontich,11024,Nee,Externe inwijking van vreemdelingen,2001,32,19971,1.60232
Kontich,11024,Nee,Externe inwijking van vreemdelingen,2002,23,20059,1.14662
Kontich,11024,Nee,Externe inwijking van vreemdelingen,2003,17,20139,0.84413
Kontich,11024,Nee,Externe inwijking van vreemdelingen,2004,38,20170,1.88399
Kontich,11024,Nee,Externe inwijking van vreemdelingen,2005,24,20246,1.18542
Kontich,11024,Nee,Externe inwijking van vreemdelingen,2006,47,20239,2.32225
Kontich,11024,Nee,Externe inwijking van vreemdelingen,2007,69,20243,3.40859
Kontich,11024,Nee,Externe inwijking van vreemdelingen,2008,69,20297,3.39952
Kontich,11024,Nee,Externe inwijking van vreemdelingen,2009,46,20335,2.26211
Kontich,11024,Nee,Externe inwijking van vreemdelingen,2010,91,20489,4.44141
Kontich,11024,Nee,Externe inwijking van vreemdelingen,2011,113,20584,5.4897
