Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,Aantal personen met een (equivalent) leefloon,Aantal inwoners,Procent
Lint,11025,Nee,Personen met (equivalent) leefloon,2003,10,7977,0.0012536
Lint,11025,Nee,Personen met (equivalent) leefloon,2004,10,7959,0.00125644
Lint,11025,Nee,Personen met (equivalent) leefloon,2005,10,7979,0.00125329
Lint,11025,Nee,Personen met (equivalent) leefloon,2006,7,7977,0.000877523
Lint,11025,Nee,Personen met (equivalent) leefloon,2007,7,8035,0.000871189
Lint,11025,Nee,Personen met (equivalent) leefloon,2008,8,8089,0.000988997
Lint,11025,Nee,Personen met (equivalent) leefloon,2009,9,8229,0.00109369
Lint,11025,Nee,Personen met (equivalent) leefloon,2010,7,8363,0.00083702
Lint,11025,Nee,Personen met (equivalent) leefloon,2011,12,8522,0.00140812
Lint,11025,Nee,Personen met (equivalent) leefloon,2012,14,8620,0.00162413
Lint,11025,Nee,Personen met (equivalent) leefloon,2013,27,8668,0.00311491
Lint,11025,Nee,Personen met (equivalent) leefloon,2014,27,8752,0.00308501
Lint,11025,Nee,Personen met (equivalent) leefloon,2015,25,8767,0.0028516
Lint,11025,Nee,Personen met (equivalent) leefloon,2016,29,8821,0.00328761
Lint,11025,Nee,Personen met (equivalent) leefloon,2017,29,8781,0.00330259
Lint,11025,Nee,Personen met (equivalent) leefloon,2018,29,8787,0.00330033
Lint,11025,Nee,Personen met (equivalent) leefloon,2019,24,8718,0.00275292
Lint,11025,Nee,Personen met (equivalent) leefloon,2020,26,8641,0.00300891
Lint,11025,Nee,Personen met (equivalent) leefloon,2021,19,8575,0.00221574
Lint,11025,Nee,Personen met (equivalent) leefloon,2022,15,8553,0.00175377
Mortsel,11029,Nee,Personen met (equivalent) leefloon,2003,149,24669,0.00603997
Mortsel,11029,Nee,Personen met (equivalent) leefloon,2004,116,24450,0.00474438
Mortsel,11029,Nee,Personen met (equivalent) leefloon,2005,137,24393,0.00561637
