Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,"Aantal personen met een (equivalent) leefloon, met een IGO of GIB, met een IVT en/of met een IT",Aantal inwoners,Procent
Wijnegem,11050,Nee,Personen met sociale bijstandsuitkering,2019,196,9816,0.0199674
Wijnegem,11050,Nee,Personen met sociale bijstandsuitkering,2020,203,9983,0.0203346
Wijnegem,11050,Nee,Personen met sociale bijstandsuitkering,2021,218,10084,0.0216184
Wijnegem,11050,Nee,Personen met sociale bijstandsuitkering,2022,236,10244,0.0230379
Wommelgem,11052,Nee,Personen met sociale bijstandsuitkering,2011,209,12373,0.0168916
Wommelgem,11052,Nee,Personen met sociale bijstandsuitkering,2012,215,12386,0.0173583
Wommelgem,11052,Nee,Personen met sociale bijstandsuitkering,2013,228,12405,0.0183797
Wommelgem,11052,Nee,Personen met sociale bijstandsuitkering,2014,227,12467,0.0182081
Wommelgem,11052,Nee,Personen met sociale bijstandsuitkering,2015,217,12547,0.017295
Wommelgem,11052,Nee,Personen met sociale bijstandsuitkering,2016,218,12591,0.017314
