Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,Ontevreden (%),Neutraal (%),Tevreden (%)
 Kasterlee ,13017,nee,Tevredenheid over kinderopvang,2020,0.03,0.19,0.78
 Keerbergen ,24048,nee,Tevredenheid over kinderopvang,2017,0.02,0.18,0.8
 Keerbergen ,24048,nee,Tevredenheid over kinderopvang,2020,0.07,0.26,0.68
 Kinrooi ,72018,nee,Tevredenheid over kinderopvang,2017,0.04,0.17,0.79
 Kinrooi ,72018,nee,Tevredenheid over kinderopvang,2020,0.07,0.2,0.73
 Kluisbergen ,45060,nee,Tevredenheid over kinderopvang,2017,0.04,0.2,0.76
 Kluisbergen ,45060,nee,Tevredenheid over kinderopvang,2020,0.06,0.18,0.76
 Knesselare ,44029,nee,Tevredenheid over kinderopvang,2017,0.05,0.25,0.7
 Knokke-Heist ,31043,nee,Tevredenheid over kinderopvang,2017,0.08,0.19,0.72
 Knokke-Heist ,31043,nee,Tevredenheid over kinderopvang,2020,0.03,0.17,0.8
 Koekelare ,32010,nee,Tevredenheid over kinderopvang,2017,0.04,0.07,0.89
 Koekelare ,32010,nee,Tevredenheid over kinderopvang,2020,0.02,0.13,0.85
 Koksijde ,38014,nee,Tevredenheid over kinderopvang,2017,0.04,0.22,0.74
 Koksijde ,38014,nee,Tevredenheid over kinderopvang,2020,0.1,0.18,0.72
 Kontich ,11024,nee,Tevredenheid over kinderopvang,2017,0.08,0.24,0.67
 Kontich ,11024,nee,Tevredenheid over kinderopvang,2020,0.06,0.21,0.73
 Kortemark ,32011,nee,Tevredenheid over kinderopvang,2017,0.1,0.19,0.71
 Kortemark ,32011,nee,Tevredenheid over kinderopvang,2020,0.09,0.19,0.72
 Kortenaken ,24054,nee,Tevredenheid over kinderopvang,2017,0.06,0.21,0.74
 Kortenaken ,24054,nee,Tevredenheid over kinderopvang,2020,0.11,0.17,0.72
 Kortenberg ,24055,nee,Tevredenheid over kinderopvang,2017,0.13,0.28,0.59
 Kortenberg ,24055,nee,Tevredenheid over kinderopvang,2020,0.07,0.27,0.66
 Kortessem ,73040,nee,Tevredenheid over kinderopvang,2017,0.04,0.22,0.73
 Kortessem ,73040,nee,Tevredenheid over kinderopvang,2020,0.13,0.26,0.61
 Kortrijk ,34022,ja,Tevredenheid over kinderopvang,2011,0.09,0.2,0.71
 Kortrijk ,34022,ja,Tevredenheid over kinderopvang,2014,0.12,0.23,0.65
 Kortrijk ,34022,ja,Tevredenheid over kinderopvang,2017,0.11,0.26,0.64
 Kortrijk ,34022,ja,Tevredenheid over kinderopvang,2020,0.11,0.21,0.68
 Kraainem ,23099,nee,Tevredenheid over kinderopvang,2017,0.23,0.3,0.47
 Kraainem ,23099,nee,Tevredenheid over kinderopvang,2020,0.23,0.32,0.45
 Kruibeke ,46013,nee,Tevredenheid over kinderopvang,2017,0.08,0.19,0.74
 Kruibeke ,46013,nee,Tevredenheid over kinderopvang,2020,0.08,0.26,0.66
 Kruisem ,45068,nee,Tevredenheid over kinderopvang,2020,0.08,0.33,0.59
 Kruishoutem ,45017,nee,Tevredenheid over kinderopvang,2017,0.1,0.21,0.69
